transaction_id,date,region,product_category,quantity,revenue,net_profit
TRX00090,2026-02-26,Australia,Toys,18,4755.24,4289.226479999999
TRX00091,2026-03-01,Australia,Appliances,31,18279.46,16488.07292
TRX00092,2026-01-09,North America,Software,71,4608.61,3991.05626
TRX00093,2026-05-02,Asia,Software,143,93420.47,82210.0136
TRX00094,2026-02-08,Europe,Software,113,2867.94,2320.1634599999998
TRX00095,2026-04-14,South America,Clothing,144,28042.56,24481.154880000002
TRX00096,2026-02-17,Asia,Food,121,12162.92,10703.3696
TRX00097,2026-03-23,Australia,Books,51,19991.49,18032.32398
TRX00098,2026-04-06,Australia,Food,23,11356.25,10243.3375
TRX00099,2026-06-26,South America,Books,40,18006.0,15719.238
TRX00100,2026-02-06,Asia,Toys,148,2259.96,1988.7648
TRX00101,2026-01-03,Europe,Food,79,36221.5,29303.1935
TRX00102,2026-04-18,South America,Toys,100,71802.0,62683.146
TRX00103,2026-02-16,Australia,Clothing,118,74439.12,67144.08623999999
TRX00104,2026-04-06,North America,Software,130,30187.3,26142.2018
TRX00105,2026-04-02,South America,Software,134,72997.84,63727.11431999999
TRX00106,2026-01-03,North America,Appliances,39,30710.94,26595.674039999998
TRX00107,2026-05-20,Africa,Clothing,89,25012.56,20835.462480000002
TRX00108,2026-06-27,South America,Toys,110,67897.5,59274.5175
TRX00109,2026-03-26,Africa,Food,36,6692.76,5575.06908
TRX00110,2026-03-04,Africa,Books,1,128.16,106.75728
TRX00111,2026-04-11,Europe,Electronics,40,9344.4,7559.6196
TRX00112,2026-04-06,Africa,Books,44,11468.16,9552.97728
TRX00113,2026-03-05,Europe,Food,41,25399.09,20547.86381
TRX00114,2026-03-09,Australia,Software,79,12425.91,11208.17082
TRX00115,2026-03-06,Asia,Clothing,75,9383.25,8257.26
TRX00116,2026-03-02,Africa,Toys,63,32467.05,27045.052649999998
TRX00117,2026-01-02,South America,Electronics,90,6246.9,5453.5437
TRX00118,2026-02-08,North America,Toys,68,37846.76,32775.294160000005
TRX00119,2026-03-11,Europe,Software,111,0,0.0
TRX00120,2026-06-27,South America,Food,95,2666.65,2327.98545
TRX00121,2026-05-08,South America,Clothing,79,37938.17,33120.02241
TRX00122,2026-01-28,Africa,Electronics,47,5089.63,4239.66179
TRX00123,2026-05-14,Asia,Appliances,67,13583.58,11953.5504
TRX00124,2026-01-20,South America,Clothing,140,3767.4,3288.9402
TRX00125,2026-01-31,Australia,Clothing,41,6918.75,6240.7125
TRX00126,2026-05-28,Asia,Furniture,96,73625.28,64790.2464
TRX00127,2026-03-09,South America,Clothing,60,42384.6,37001.7558
TRX00128,2026-02-16,North America,Furniture,105,29706.6,25725.9156
TRX00129,2026-01-25,South America,Electronics,0,32474.61,28350.33453
TRX00130,2026-02-18,Asia,Books,33,23443.53,20630.306399999998
TRX00131,2026-05-06,North America,Food,71,23996.58,20781.03828
TRX00132,2026-04-23,North America,Food,3,1135.47,983.31702
TRX00133,2026-06-04,Africa,Toys,80,57607.2,47986.7976
TRX00134,2026-02-09,Australia,Books,148,72311.32,65224.81064
TRX00135,2026-03-24,Asia,Appliances,139,17924.05,15773.163999999999
TRX00136,2026-04-25,Europe,Toys,0,21955.96,17762.371639999998
TRX00137,2026-06-07,Australia,Books,137,86951.16,78429.94632
TRX00138,2026-06-19,Asia,Clothing,64,16977.92,14940.569599999999
TRX00139,2026-02-25,Asia,Appliances,2,208.16,183.1808
TRX00140,2026-06-22,Europe,Food,74,8734.96,7066.582639999999
TRX00141,2026-02-05,Australia,Electronics,67,7599.81,6855.02862
TRX00142,2026-03-21,North America,Books,44,10058.84,8710.95544
TRX00143,2026-04-26,South America,Toys,42,2413.32,2106.82836
TRX00144,2026-03-11,Europe,Toys,70,9749.6,7887.4264
TRX00145,2026-05-30,Asia,Clothing,105,74480.7,65543.016
TRX00146,2026-05-04,South America,Furniture,116,2583.32,2255.2383600000003
TRX00147,2026-01-11,Asia,Clothing,128,51787.52,45573.0176
TRX00148,2026-04-06,Asia,Food,35,14089.6,12398.848
TRX00149,2026-06-26,Africa,Software,62,13483.14,11231.45562
TRX00150,2026-01-12,Australia,Toys,114,46119.84,41600.09568
TRX00151,2026-03-31,Africa,Electronics,21,0,0.0
TRX00152,2026-06-19,Asia,Electronics,146,22206.6,19541.807999999997
TRX00153,2026-05-12,Africa,Clothing,148,70989.68,59134.403439999995
TRX00154,2026-04-20,Australia,Books,11,4262.17,3844.47734
TRX00155,2026-05-19,Asia,Food,41,15505.38,13644.7344
TRX00156,2026-03-10,Europe,Clothing,76,59439.6,48086.6364
TRX00157,2026-02-12,Asia,Food,5,3679.1,3237.608
TRX00158,2026-04-27,Asia,Software,1,99.31,87.39280000000001
TRX00159,2026-06-23,North America,Furniture,140,47497.8,41133.094800000006
TRX00160,2026-06-03,North America,Food,97,46808.32,40536.00512
TRX00161,2026-05-02,South America,Software,0,84339.25,73628.16525
TRX00162,2026-03-24,North America,Electronics,141,76543.26,66286.46316
TRX00163,2026-06-20,South America,Electronics,72,42940.08,37486.68984
TRX00164,2026-05-21,North America,Books,75,56610.0,49024.26
TRX00165,2026-06-12,Asia,Electronics,141,77923.65,68572.81199999999
TRX00166,2026-06-07,North America,Electronics,0,4784.0,4142.9439999999995
TRX00167,2026-06-17,Asia,Appliances,17,5176.84,4555.6192
TRX00168,2026-04-10,North America,Clothing,47,14028.56,12148.73296
TRX00169,2026-04-27,Australia,Food,150,22458.0,20257.116
TRX00170,2026-06-24,South America,Software,47,16238.97,14176.62081
TRX00171,2026-05-17,Africa,Books,112,82790.4,68964.4032
TRX00172,2026-02-25,South America,Books,93,36998.19,32299.41987
TRX00173,2026-03-14,South America,Electronics,61,10923.27,9536.01471
TRX00174,2026-04-28,South America,Food,56,38884.16,33945.871680000004
TRX00175,2026-01-15,Asia,Software,32,10013.12,8811.545600000001
TRX00176,2026-01-31,South America,Electronics,0,10358.4,9042.8832
TRX00177,2026-01-26,South America,Furniture,7,0,0.0
TRX00178,2026-05-30,South America,Software,32,22360.0,19520.28
TRX00179,2026-05-01,Australia,Books,114,2267.46,2045.24892
TRX00180,2026-05-19,Europe,Electronics,18,12578.22,10175.77998
TRX00181,2026-05-03,Asia,Electronics,130,45315.4,39877.552
TRX00182,2026-06-09,Australia,Appliances,75,3498.75,3155.8725
TRX00183,2026-01-05,North America,Appliances,67,14269.66,12357.52556
TRX00184,2026-02-03,Africa,Books,69,43033.23,35846.68059
TRX00185,2026-01-29,North America,Books,12,252.24,218.43984
TRX00186,2026-04-10,Africa,Food,95,64627.55,53834.74915
TRX00187,2026-03-29,South America,Software,3,1439.46,1256.64858
TRX00188,2026-03-14,Africa,Books,44,33777.48,28136.640840000004
TRX00189,2026-02-19,Asia,Clothing,89,0,0.0
TRX00190,2026-06-10,North America,Books,29,5467.08,4734.49128
TRX00191,2026-04-13,North America,Furniture,41,24675.03,21368.575979999998
TRX00192,2026-02-04,Asia,Appliances,111,54845.1,48263.688
TRX00193,2026-03-27,Asia,Furniture,136,59971.92,52775.2896
TRX00194,2026-03-08,Australia,Books,92,47453.6,42803.1472
TRX00195,2026-03-22,Unknown_Region,Toys,70,15492.4,15492.4
TRX00196,2026-01-10,Europe,Furniture,12,2098.92,1698.02628
TRX00197,2026-02-26,Asia,Furniture,52,0,0.0
TRX00198,2026-03-22,South America,Appliances,45,15912.9,13891.9617
TRX00199,2026-03-22,Europe,Clothing,5,1827.35,1478.3261499999999
TRX00200,2026-05-03,Asia,Clothing,26,0,0.0
TRX00201,2026-05-18,Asia,Books,103,0,0.0
TRX00202,2026-02-24,North America,Furniture,0,30372.05,26302.1953
TRX00203,2026-02-23,Africa,Furniture,10,4509.8,3756.6634000000004
TRX00204,2026-06-24,North America,Clothing,56,40486.32,35061.15312
TRX00205,2026-01-17,Africa,Clothing,109,26097.87,21739.52571
TRX00206,2026-06-28,North America,Toys,53,19602.58,16975.834280000003
TRX00207,2026-06-25,North America,Clothing,69,48781.62,42244.882920000004
TRX00208,2026-02-17,Europe,Software,3,1895.94,1533.81546
TRX00209,2026-05-21,Asia,Electronics,127,64345.82,56624.3216
TRX00210,2026-01-20,North America,Food,2,386.32,334.55312
TRX00211,2026-04-26,Asia,Food,116,48548.32,42722.5216
TRX00212,2026-04-09,Africa,Clothing,129,49888.17,41556.845610000004
TRX00213,2026-06-17,Europe,Furniture,8,4673.36,3780.74824
TRX00214,2026-03-11,Australia,Food,111,5212.56,4701.72912
TRX00215,2026-02-07,Australia,Appliances,111,32971.44,29740.23888
TRX00216,2026-02-20,Australia,Furniture,105,42823.2,38626.526399999995
TRX00217,2026-01-29,Europe,Books,12,4789.44,3874.65696
TRX00218,2026-04-09,Africa,Clothing,87,57948.09,48270.758969999995
TRX00219,2026-02-04,South America,Software,80,25822.4,22542.9552
TRX00220,2026-03-23,Asia,Books,47,29456.78,25921.966399999998
TRX00221,2026-03-17,Asia,Food,40,15274.8,13441.823999999999
TRX00222,2026-02-07,Asia,Appliances,55,19868.2,17484.016
TRX00223,2026-01-04,South America,Appliances,70,7666.4,6692.767199999999
TRX00224,2026-01-03,North America,Appliances,10,1979.0,1713.8139999999999
TRX00225,2026-06-24,North America,Toys,56,2091.6,1811.3256
TRX00226,2026-04-04,North America,Software,0,47280.24,40944.68784
TRX00227,2026-05-27,South America,Food,0,22888.2,19981.3986
TRX00228,2026-03-20,South America,Appliances,37,12625.14,11021.74722
TRX00229,2026-02-02,Asia,Appliances,92,71502.4,62922.111999999994
TRX00230,2026-06-03,Australia,Electronics,145,53489.05,48247.123100000004
TRX00231,2026-01-06,Africa,Appliances,107,63925.01,53249.533330000006
TRX00232,2026-01-16,Australia,Electronics,131,25575.13,23068.76726
TRX00233,2026-01-03,North America,Furniture,45,0,0.0
TRX00234,2026-04-15,North America,Toys,111,0,0.0
TRX00235,2026-03-16,South America,Furniture,51,0,0.0
TRX00236,2026-03-06,Europe,Software,30,2597.1,2101.0539
TRX00237,2026-01-12,South America,Appliances,65,16424.2,14338.3266
TRX00238,2026-03-23,Africa,Appliances,16,2395.04,1995.06832
TRX00239,2026-04-02,Australia,Software,149,0,0.0
TRX00240,2026-06-13,Australia,Software,118,3127.0,2820.554
TRX00241,2026-05-05,Africa,Appliances,13,0,0.0
TRX00242,2026-05-18,Unknown_Region,Appliances,0,32984.49,32984.49
TRX00243,2026-02-07,North America,Books,38,14105.22,12215.120519999999
TRX00244,2026-01-11,Australia,Toys,78,2453.1,2212.6962
TRX00245,2026-02-13,North America,Toys,6,3584.64,3104.29824
TRX00246,2026-02-19,South America,Toys,127,9461.5,8259.8895
TRX00247,2026-02-19,Australia,Food,41,7345.15,6625.3252999999995
TRX00248,2026-05-01,North America,Electronics,102,35264.46,30539.02236
TRX00249,2026-01-11,Africa,Electronics,132,66517.44,55409.02752
TRX00250,2026-06-27,Europe,Toys,150,87841.5,71063.7735
TRX00251,2026-05-16,Africa,Clothing,89,6412.45,5341.57085
TRX00252,2026-03-26,Australia,Appliances,60,9388.8,8468.6976
TRX00253,2026-06-20,Africa,Books,130,39500.5,32903.9165
TRX00254,2026-05-04,North America,Furniture,107,15031.36,13017.15776
TRX00255,2026-04-01,Australia,Electronics,149,63195.37,57002.22374
TRX00256,2026-05-03,North America,Books,16,7314.56,6334.408960000001
TRX00257,2026-05-22,Africa,Books,142,32055.08,26701.881640000003
TRX00258,2026-02-03,Europe,Toys,70,15375.5,12438.7795
TRX00259,2026-04-23,Australia,Electronics,41,11022.03,9941.871060000001
TRX00260,2026-02-25,South America,Furniture,106,27097.84,23656.41432
TRX00261,2026-03-06,Europe,Electronics,71,21740.2,17587.8218
TRX00262,2026-02-13,South America,Clothing,102,23053.02,20125.28646
TRX00263,2026-06-15,South America,Furniture,57,16359.0,14281.407
TRX00264,2026-06-16,Africa,Electronics,21,11512.62,9590.012460000002
TRX00265,2026-04-22,Australia,Books,100,0,0.0
TRX00266,2026-06-12,Australia,Furniture,46,36140.82,32599.01964
TRX00267,2026-05-22,Asia,Appliances,64,11166.08,9826.1504
TRX00268,2026-03-27,South America,Books,147,17184.3,15001.8939
TRX00269,2026-01-20,Europe,Appliances,118,17053.36,13796.16824
TRX00270,2026-02-04,Asia,Electronics,60,30262.8,26631.264
TRX00271,2026-01-09,North America,Toys,80,62110.4,53787.606400000004
TRX00272,2026-05-10,Asia,Furniture,14,8842.54,7781.435200000001
TRX00273,2026-05-19,Australia,Furniture,138,17430.78,15722.563559999999
TRX00274,2026-03-05,Europe,Software,27,11769.57,9521.582129999999
TRX00275,2026-02-03,Africa,Electronics,0,57834.0,48175.722
TRX00276,2026-02-02,Australia,Food,21,0,0.0
TRX00277,2026-06-03,Australia,Software,106,48940.2,44144.060399999995
TRX00278,2026-03-13,Asia,Electronics,115,41167.7,36227.576
TRX00279,2026-02-28,Australia,Electronics,90,51738.3,46667.9466
TRX00280,2026-01-04,North America,Electronics,2,1572.06,1361.4039599999999
TRX00281,2026-02-22,Europe,Toys,23,3984.29,3223.29061
TRX00282,2026-05-18,South America,Appliances,49,11837.91,10334.495429999999
TRX00283,2026-05-02,Europe,Electronics,104,28037.36,22682.22424
TRX00284,2026-03-24,North America,Toys,103,20379.58,17648.71628
TRX00285,2026-02-01,Africa,Furniture,55,22936.1,19105.7713
TRX00286,2026-01-10,North America,Food,23,0,0.0
TRX00287,2026-05-29,North America,Furniture,93,71722.53,62111.710979999996
TRX00288,2026-05-07,Europe,Toys,140,76293.0,61721.037
TRX00289,2026-05-19,Europe,Books,135,41972.85,33956.03565
TRX00290,2026-06-07,Africa,Electronics,15,3066.6,2554.4778
TRX00291,2026-05-09,North America,Software,6,4172.4,3613.2983999999997
TRX00292,2026-02-19,Europe,Toys,72,34558.56,27957.87504
TRX00293,2026-03-24,Asia,Software,36,21634.56,19038.412800000002
TRX00294,2026-05-20,Europe,Furniture,69,16595.88,13426.066920000001
TRX00295,2026-04-19,Africa,Toys,63,49407.12,41156.13096
TRX00296,2026-05-13,Asia,Toys,57,41065.08,36137.2704
TRX00297,2026-01-22,Europe,Toys,0,8816.72,7132.726479999999
TRX00298,2026-04-28,Africa,Furniture,58,37687.24,31393.47092
TRX00299,2026-05-01,Africa,Software,55,43016.05,35832.36965
TRX00300,2026-02-15,Australia,Books,16,12741.6,11492.923200000001
TRX00301,2026-03-16,South America,Food,103,46062.63,40212.675989999996
TRX00302,2026-06-14,Australia,Software,42,25676.28,23160.004559999998
TRX00303,2026-04-01,North America,Food,64,24011.52,20793.97632
TRX00304,2026-05-26,Europe,Electronics,112,86134.72,69682.98848
TRX00305,2026-04-26,North America,Furniture,150,60028.5,51984.681
TRX00306,2026-01-22,North America,Appliances,34,2990.64,2589.8942399999996
TRX00307,2026-05-16,South America,Food,73,34898.38,30466.28574
TRX00308,2026-01-24,Africa,Furniture,22,11959.64,9962.38012
TRX00309,2026-03-20,Europe,Electronics,99,77481.36,62682.42024
TRX00310,2026-05-03,North America,Food,84,52477.32,45445.35912
TRX00311,2026-01-07,South America,Furniture,61,37328.95,32588.173349999997
TRX00312,2026-05-07,Africa,Toys,33,24845.7,20696.468100000002
TRX00313,2026-06-24,Europe,Books,38,8862.36,7169.649240000001
TRX00314,2026-01-26,North America,Electronics,5,1827.05,1582.2253
TRX00315,2026-01-29,Asia,Food,148,0,0.0
TRX00316,2026-04-27,North America,Software,0,2324.3,2012.8438
TRX00317,2026-02-01,Africa,Toys,135,9294.75,7742.52675
TRX00318,2026-06-27,North America,Clothing,50,2453.5,2124.7309999999998
TRX00319,2026-04-10,Asia,Software,61,19232.08,16924.2304
TRX00320,2026-02-08,North America,Electronics,39,1792.05,1551.9153
TRX00321,2026-03-30,Australia,Books,87,34619.91,31227.158820000004
TRX00322,2026-04-27,Australia,Toys,84,2668.68,2407.14936
TRX00323,2026-02-17,South America,Clothing,64,25601.92,22350.47616
TRX00324,2026-05-16,Asia,Furniture,107,45320.92,39882.4096
TRX00325,2026-01-01,Asia,Software,123,59573.82,52424.9616
TRX00326,2026-03-27,Australia,Appliances,42,16298.52,14701.26504
TRX00327,2026-05-26,North America,Toys,122,47681.26,41291.97116
TRX00328,2026-02-04,South America,Clothing,102,74864.94,65357.09262
TRX00329,2026-01-24,North America,Appliances,9,2361.15,2044.7559
TRX00330,2026-04-22,Australia,Books,0,18839.34,16993.08468
TRX00331,2026-01-20,North America,Electronics,32,4604.8,3987.7568
TRX00332,2026-01-31,Asia,Software,6,1385.1,1218.888
TRX00333,2026-02-04,Asia,Software,114,19288.8,16974.144
TRX00334,2026-05-28,Europe,Clothing,148,45597.32,36888.23188
TRX00335,2026-02-27,Asia,Books,68,33838.84,29778.1792
TRX00336,2026-04-10,North America,Electronics,0,33250.8,28795.192800000004
TRX00337,2026-05-01,North America,Furniture,112,29992.48,25973.48768
TRX00338,2026-05-16,Europe,Food,105,50922.9,41196.6261
TRX00339,2026-02-20,North America,Furniture,103,44145.8,38230.262800000004
TRX00340,2026-03-02,Australia,Food,71,3849.62,3472.35724
TRX00341,2026-06-07,Africa,Books,89,28442.62,23692.70246
TRX00342,2026-06-24,South America,Food,130,14027.0,12245.571
TRX00343,2026-01-15,Australia,Furniture,30,12043.8,10863.507599999999
TRX00344,2026-03-23,Europe,Books,73,15400.81,12459.25529
TRX00345,2026-01-24,Europe,Toys,127,91545.41,74060.23669
TRX00346,2026-06-13,North America,Appliances,52,32663.28,28286.400479999997
TRX00347,2026-06-01,Australia,Appliances,121,79333.65,71558.95229999999
TRX00348,2026-02-20,Africa,Toys,89,46512.29,38744.73757
TRX00349,2026-05-25,Africa,Books,136,54062.72,45034.245760000005
TRX00350,2026-02-11,North America,Electronics,52,7222.28,6254.494479999999
TRX00351,2026-04-04,Africa,Books,0,96072.48,80028.37584
TRX00352,2026-06-26,South America,Books,11,3918.97,3421.2608099999998
TRX00353,2026-05-09,Australia,Software,127,24596.09,22185.67318
TRX00354,2026-04-28,Africa,Clothing,6,1881.06,1566.92298
TRX00355,2026-02-11,Europe,Furniture,5,205.9,166.5731
TRX00356,2026-03-01,Africa,Clothing,113,78819.76,65656.86008
TRX00357,2026-03-31,Asia,Furniture,95,54253.55,47743.124
TRX00358,2026-06-23,North America,Furniture,133,81173.89,70296.58874
TRX00359,2026-03-29,South America,Electronics,112,0,0.0
TRX00360,2026-06-30,Europe,Electronics,38,0,0.0
TRX00361,2026-03-10,Asia,Books,10,2307.7,2030.7759999999998
TRX00362,2026-02-21,Australia,Software,6,0,0.0
TRX00363,2026-04-14,Australia,Food,124,28303.0,25529.306
TRX00364,2026-05-10,Australia,Appliances,111,4469.97,4031.91294
TRX00365,2026-01-17,South America,Appliances,20,11889.0,10379.097
TRX00366,2026-04-03,Africa,Books,136,9790.64,8155.60312
TRX00367,2026-03-15,South America,Furniture,57,45122.34,39391.80282
TRX00368,2026-01-15,North America,Food,102,32253.42,27931.46172
TRX00369,2026-03-15,North America,Toys,144,28827.36,24964.49376
TRX00370,2026-06-17,Australia,Books,33,22929.06,20682.01212
TRX00371,2026-04-28,North America,Toys,64,12675.84,10977.27744
TRX00372,2026-06-01,Australia,Food,80,13063.2,11783.0064
TRX00373,2026-04-02,North America,Furniture,5,717.35,621.2251
TRX00374,2026-01-18,Asia,Electronics,11,0,0.0
TRX00375,2026-04-06,Australia,Software,86,9490.1,8560.0702
TRX00376,2026-02-27,Asia,Electronics,14,2462.32,2166.8416
TRX00377,2026-04-23,Africa,Appliances,84,15540.84,12945.51972
TRX00378,2026-06-30,Australia,Toys,149,13888.29,12527.23758
TRX00379,2026-02-04,South America,Electronics,81,21490.11,18760.86603
TRX00380,2026-01-12,North America,Food,125,7295.0,6317.47
TRX00381,2026-04-30,Africa,Furniture,114,24875.94,20721.65802
TRX00382,2026-05-14,Unknown_Region,Appliances,79,25588.89,25588.89
TRX00383,2026-03-28,North America,Toys,123,27779.55,24057.0903
TRX00384,2026-06-29,Australia,Software,71,0,0.0
TRX00385,2026-04-23,Asia,Books,99,0,0.0
TRX00386,2026-06-02,Africa,Furniture,28,22272.88,18553.30904
TRX00387,2026-06-29,Europe,Appliances,126,46214.28,37387.35252
TRX00388,2026-05-21,Australia,Electronics,56,39715.2,35823.1104
TRX00389,2026-01-17,South America,Furniture,99,42578.91,37171.388430000006
TRX00390,2026-06-12,North America,Clothing,110,54862.5,47510.925
TRX00391,2026-01-05,Asia,Furniture,0,2379.16,2093.6607999999997
TRX00392,2026-01-07,Europe,Electronics,50,32332.5,26156.9925
TRX00393,2026-06-06,Europe,Furniture,91,65177.84,52728.872559999996
TRX00394,2026-04-07,South America,Food,0,0,0.0
TRX00395,2026-06-10,South America,Software,0,0,0.0
TRX00396,2026-06-20,Europe,Furniture,19,644.48,521.38432
TRX00397,2026-04-10,Europe,Food,42,14224.56,11507.66904
TRX00398,2026-02-06,Europe,Electronics,51,29395.38,23780.86242
TRX00399,2026-04-09,Europe,Appliances,0,54928.83,44437.42347
TRX00400,2026-03-04,Unknown_Region,Books,90,0,0.0
TRX00401,2026-05-10,North America,Clothing,63,0,0.0
TRX00402,2026-02-21,South America,Appliances,47,32588.39,28449.66447
TRX00403,2026-05-20,Europe,Electronics,51,10821.69,8754.747210000001
TRX00404,2026-02-05,Africa,Electronics,125,89312.5,74397.3125
TRX00405,2026-06-13,Africa,Electronics,90,41407.2,34492.1976
TRX00406,2026-01-29,South America,Toys,5,1821.55,1590.21315
TRX00407,2026-01-28,North America,Electronics,0,38124.94,33016.19804
TRX00408,2026-01-05,Europe,Books,80,52971.2,42853.7008
TRX00409,2026-05-08,North America,Toys,57,24519.12,21233.55792
TRX00410,2026-02-21,Africa,Clothing,72,4742.64,3950.6191200000003
TRX00411,2026-01-25,Asia,Clothing,137,99049.63,87163.6744
